hardware_id,created_at,Wh,voltage ry,voltage yb,voltage br,Voltage R,Voltage Y,Voltage B,Current R,Current Y,Current B
abcdefgh,2019-06-27T23:16:00.000Z,72350.99986,0,406,404,233,236,233,17.125,16.5,18.75
abcdefgh,2019-06-27T23:15:00.000Z,72328.45597,0,406,404,233,237,234,17,16.5,18.75
abcdefgh,2019-06-27T23:13:00.000Z,72306.34808,0,408,404,234,236,234,17,16.875,18.75
abcdefgh,2019-06-27T23:11:00.000Z,72284.64116,0,406,404,233,236,234,17.125,16.625,18.75
abcdefgh,2019-06-27T23:09:00.000Z,72263.26715,0,406,402,232,235,233,17,16.75,18.375
abcdefgh,2019-06-27T23:07:00.000Z,72242.70596,0,404,402,232,235,233,17,17,18.125
abcdefgh,2019-06-27T23:06:00.000Z,72222.2729,0,404,402,232,235,233,16.875,16.75,18.375
abcdefgh,2019-06-27T23:04:00.000Z,72201.75728,0,406,402,233,235,233,17,16.875,18.5
abcdefgh,2019-06-27T23:02:00.000Z,72181.36565,0,406,402,233,235,233,16.875,16.625,18.375
abcdefgh,2019-06-27T23:00:00.000Z,72160.3505,0,406,402,232,236,233,17,16.625,18.5
abcdefgh,2019-06-27T22:59:00.000Z,72139.81188,0,406,402,233,235,233,17,16.625,18.625
abcdefgh,2019-06-27T22:57:00.000Z,72118.96566,0,406,404,233,236,233,17.125,16.625,18.625
abcdefgh,2019-06-27T22:55:00.000Z,72098.34803,0,406,402,232,236,233,17.125,16.625,18.375
abcdefgh,2019-06-27T22:52:00.000Z,72069.57384,0,404,404,233,235,232,16.875,16.625,18.75
abcdefgh,2019-06-27T22:51:00.000Z,72049.14408,0,406,404,233,235,233,16.875,16.625,18.875
abcdefgh,2019-06-27T22:49:00.000Z,72028.8059,0,406,402,233,235,233,16.75,16.625,18.875
abcdefgh,2019-06-27T22:47:00.000Z,72008.65748,0,406,402,233,235,233,16.875,16.625,18.625
abcdefgh,2019-06-27T22:44:00.000Z,71978.66263,0,406,404,233,235,233,16.875,16.625,18.5
abcdefgh,2019-06-27T22:43:00.000Z,71958.0062,0,406,404,233,236,233,17,16.75,18.75
abcdefgh,2019-06-27T22:41:00.000Z,71937.19548,0,408,404,234,237,234,17,16.625,18.875
abcdefgh,2019-06-27T22:36:00.000Z,71886.37934,0,408,406,234,237,234,17,16.625,18.875
abcdefgh,2019-06-27T22:35:00.000Z,71864.28676,0,410,406,235,238,235,17.125,16.625,18.5
abcdefgh,2019-06-27T22:33:00.000Z,71841.90737,0,410,406,234,238,235,17.25,16.875,18.5
abcdefgh,2019-06-27T22:31:00.000Z,71819.59481,0,410,406,234,238,235,17.125,16.875,18.625
abcdefgh,2019-06-27T22:29:00.000Z,71797.79017,0,408,406,234,237,235,17,16.875,18.25
abcdefgh,2019-06-27T22:27:00.000Z,71775.95497,0,408,406,234,238,235,17,17,18.125
abcdefgh,2019-06-27T22:26:00.000Z,71754.43416,0,410,406,234,237,235,17.125,16.875,18.125
abcdefgh,2019-06-27T22:24:00.000Z,71732.51279,0,410,406,234,237,235,16.875,16.625,19
abcdefgh,2019-06-27T22:22:00.000Z,71711.00446,0,408,406,234,237,235,16.625,16.5,19.125
abcdefgh,2019-06-27T22:20:00.000Z,71688.99403,0,410,406,234,238,235,17,16.625,18.875
abcdefgh,2019-06-27T22:19:00.000Z,71666.91347,0,408,406,234,238,235,17,16.75,18.625
abcdefgh,2019-06-27T22:17:00.000Z,71644.96412,0,410,406,233,238,235,17.25,16.875,18.625
abcdefgh,2019-06-27T22:15:00.000Z,71621.38066,0,410,406,234,238,235,17.25,16.75,18.5
abcdefgh,2019-06-27T22:13:00.000Z,71599.43615,0,410,406,234,238,235,17.125,17,18.375
abcdefgh,2019-06-27T22:11:00.000Z,71575.56595,0,410,408,236,238,235,17,16.75,18.25
abcdefgh,2019-06-27T22:10:00.000Z,71550.42641,0,410,408,235,239,235,17.375,17.125,18
abcdefgh,2019-06-27T22:08:00.000Z,71527.20575,0,412,408,235,239,236,17.375,17,18.75
abcdefgh,2019-06-27T22:06:00.000Z,71503.89421,0,412,408,237,239,236,17.125,16.625,18.75
abcdefgh,2019-06-27T22:04:00.000Z,71484.9384,0,398,396,228,231,229,17,16.5,18.75
abcdefgh,2019-06-27T22:02:00.000Z,71457.53185,0,400,396,228,232,229,17.5,17.125,17.875
abcdefgh,2019-06-27T22:00:00.000Z,71438.76353,0,400,396,228,232,229,17.375,17.25,17.75
abcdefgh,2019-06-27T21:58:00.000Z,71421.54742,0,400,396,228,232,229,17.5,16.875,18.5
abcdefgh,2019-06-27T21:56:00.000Z,71403.22735,0,400,396,229,232,229,17.25,17.25,18.125
abcdefgh,2019-06-27T21:54:00.000Z,71384.40299,0,400,398,229,232,229,17.375,17,18.25
abcdefgh,2019-06-27T21:53:00.000Z,71365.59796,0,400,398,229,233,230,17.375,17.25,17.875
abcdefgh,2019-06-27T21:51:00.000Z,71346.47054,0,400,398,229,233,229,17.25,17,18.25
abcdefgh,2019-06-27T21:49:00.000Z,71326.69432,0,400,398,230,233,230,17.5,17.125,18
abcdefgh,2019-06-27T21:47:00.000Z,71306.84579,0,400,398,229,233,230,17.375,17.25,18.125
abcdefgh,2019-06-27T21:45:00.000Z,71287.4994,0,402,398,230,233,230,17.125,16.875,18
abcdefgh,2019-06-27T21:44:00.000Z,71268.18922,0,400,398,230,233,230,17.25,17,18.125
abcdefgh,2019-06-27T21:42:00.000Z,71247.9546,0,400,398,230,233,230,17.375,17,18.5
abcdefgh,2019-06-27T21:40:00.000Z,71227.8681,0,400,398,230,233,230,17.5,17,18.125
abcdefgh,2019-06-27T21:38:00.000Z,71207.53609,0,402,398,229,233,230,17,17.125,18.5
abcdefgh,2019-06-27T21:36:00.000Z,71186.84842,0,402,398,230,233,230,17.125,16.875,18.5
abcdefgh,2019-06-27T21:35:00.000Z,71166.66473,0,402,398,230,234,231,17.375,16.875,18.5
abcdefgh,2019-06-27T21:33:00.000Z,71145.7927,0,402,398,229,234,231,17.25,16.875,19
abcdefgh,2019-06-27T21:31:00.000Z,71125.63858,0,402,400,230,234,231,17.375,16.75,18.875
abcdefgh,2019-06-27T21:29:00.000Z,71104.32715,0,404,400,231,234,231,17.375,16.875,19
abcdefgh,2019-06-27T21:27:00.000Z,71082.45574,0,404,400,230,234,231,17.5,17.125,18.5
abcdefgh,2019-06-27T21:26:00.000Z,71062.35721,0,404,400,230,234,232,17.125,16.75,18.125
abcdefgh,2019-06-27T21:24:00.000Z,71041.43472,0,402,400,230,234,231,17.125,17,18.75
abcdefgh,2019-06-27T21:22:00.000Z,71011.56362,0,402,398,230,234,231,17.375,16.625,18.375
abcdefgh,2019-06-27T21:20:00.000Z,70992.9172,0,402,402,232,235,231,6.40625,6.1875,7.09375
abcdefgh,2019-06-27T21:18:00.000Z,70973.78696,0,402,400,232,234,232,6.3125,6.21875,7.15625
abcdefgh,2019-06-27T21:17:00.000Z,70955.08483,0,404,402,232,234,232,6.375,6.25,7.09375
abcdefgh,2019-06-27T21:15:00.000Z,70936.27926,0,404,402,232,235,232,6.40625,6.34375,6.875
abcdefgh,2019-06-27T21:13:00.000Z,70917.39865,0,404,402,232,235,232,6.4375,6.25,7
abcdefgh,2019-06-27T21:11:00.000Z,70898.5364,0,404,400,231,235,232,6.40625,6.21875,7.09375
abcdefgh,2019-06-27T21:09:00.000Z,70879.51074,0,404,402,232,235,232,6.375,6.1875,7.15625
abcdefgh,2019-06-27T21:07:00.000Z,70851.88676,0,404,400,231,235,232,6.375,6.15625,7.4375
abcdefgh,2019-06-27T21:05:00.000Z,70832.65962,0,406,402,231,236,232,6.4375,6.28125,7.21875
abcdefgh,2019-06-27T21:04:00.000Z,70823.92019,0,406,402,232,236,232,6.4375,6.3125,7.0625
abcdefgh,2019-06-27T21:02:00.000Z,70804.43768,0,406,402,232,236,233,6.46875,6.3125,6.9375
abcdefgh,2019-06-27T21:01:00.000Z,70784.85569,0,406,404,233,237,233,6.53125,6.4375,6.71875
abcdefgh,2019-06-27T20:59:00.000Z,70765.07971,0,406,404,232,237,234,6.46875,6.34375,7.0625
abcdefgh,2019-06-27T20:57:00.000Z,70745.01684,0,408,404,232,237,234,6.4375,6.34375,7
abcdefgh,2019-06-27T20:55:00.000Z,70724.92357,0,406,404,233,237,234,6.40625,6.25,7.09375
abcdefgh,2019-06-27T20:54:00.000Z,70705.07479,0,406,404,233,236,233,6.40625,6.28125,7.125
abcdefgh,2019-06-27T20:52:00.000Z,70685.38711,0,406,404,233,236,233,6.46875,6.4375,6.84375
abcdefgh,2019-06-27T20:50:00.000Z,70665.6724,0,406,404,233,236,233,6.40625,6.28125,7.0625
abcdefgh,2019-06-27T20:48:00.000Z,70645.85999,0,406,404,234,237,234,6.46875,6.34375,7.0625
abcdefgh,2019-06-27T20:46:00.000Z,70625.84554,0,408,404,233,237,234,6.46875,6.3125,7.0625
abcdefgh,2019-06-27T20:44:00.000Z,70596.70517,0,406,404,233,236,234,6.375,6.28125,7.125
abcdefgh,2019-06-27T20:42:00.000Z,70576.66116,0,406,404,233,236,234,6.40625,6.25,7.1875
abcdefgh,2019-06-27T20:40:00.000Z,70556.43485,0,406,404,234,236,233,6.375,6.21875,7.1875
abcdefgh,2019-06-27T20:38:00.000Z,70537.0708,0,406,404,233,236,233,6.34375,6.15625,7.40625
abcdefgh,2019-06-27T20:37:00.000Z,70517.55564,0,406,404,234,236,233,6.46875,6.21875,7.125
abcdefgh,2019-06-27T20:35:00.000Z,70498.10281,0,406,404,232,236,233,6.40625,6.3125,7.0625
